job_title,company,jobtype,region,working_Exp,edu_level,salary
市場分析專員,耀迅科技股份有限公司,其它軟體及網路相關業,台南市北區,2年以上,大學,"月薪35,000~49,000元"
採購及統計分析員(有經驗者薪資從優另議),群達龍企業股份有限公司,其他商品批發業,新北市泰山區,1年以上,大學,"月薪29,900~40,000元"
A3-產品分析師 (產品企劃、產品營運),意藍資訊股份有限公司,網際網路相關業,台北市大安區,經歷不拘,大學,"月薪35,000~40,000元"
質化市場研究顧問 Qual Researcher/ Qual Business analyst 儲備幹部 (Insights Division),Kantar Taiwan_模範市場研究顧問股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,"月薪35,000~40,000元"
永續發展管理師,旋之恆管理顧問有限公司,工商顧問服務業,台中市北屯區,3年以上,專科,"月薪35,000元以上"
產業口碑分析顧問,亞洲指標數位行銷顧問股份有限公司,廣告行銷公關業,台北市松山區,2年以上,大學,"月薪40,000~50,000元"
AS00043 Open platform -Global Digital & E-Commerce Marketing Intern(開放平台全球數位行銷與電子商務實習生),華碩電腦股份有限公司,電腦及其週邊設備製造業,台北市北投區,經歷不拘,大學,時薪170元以上
行銷企劃,青葉食品工業股份有限公司,罐頭食品加工業,高雄市前鎮區,2年以上,大學,"月薪32,000元"
使用者經驗研究員 User Experience Researcher,發發設計股份有限公司,專門設計相關業,新北市土城區,2年以上,大學,"月薪35,000~50,000元"
會員經營行銷專員,和諧生活有限公司,鞋類／布類／服飾品批發業,台中市龍井區,3年以上,專科,"月薪32,000~36,000元"
[實習] 資料處理工程師,英霸聲學科技股份有限公司,消費性電子產品製造業,新北市中和區,經歷不拘,專科,時薪180~200元
CRM & Digital Marketing Specialist,中略國際行銷股份有限公司,書籍出版業,台北市松山區,經歷不拘,大學,"月薪50,000~60,000元"
市場研究專員(越南語),云桐科技有限公司,網際網路相關業,台北市內湖區,經歷不拘,專科,"月薪30,000~45,000元"
