job_title,company,jobtype,region,working_Exp,edu_level,salary
【2022聚陽資訊營】軟體開發實習生,聚陽實業股份有限公司,紡織成衣業,台北市信義區,經歷不拘,大學,時薪180元
【總公司】數據分析專員,愛德利亞台灣股份有限公司,鞋類／布類／服飾品零售業,台北市大安區,3年以上,大學,"月薪30,000~42,000元"
花蓮 富里/玉里鄉 承攬面訪問卷人員,典通股份有限公司,工商顧問服務業,花蓮縣富里鄉,經歷不拘,高中,論件計酬120元以上
【品牌電商成長駭客】數位成長顧問_SA - Google / Facebook / LINE / Yahoo,艾斯博媒體有限公司,網際網路相關業,台北市大安區,2年以上,大學,"月薪30,000~60,000元"
台北市全區  承攬面訪問卷人員,典通股份有限公司,工商顧問服務業,台北市信義區,經歷不拘,高中,論件計酬120元以上
電商數據分析,都會新貴購物網_祥閎股份有限公司,綜合商品批發代理業,台南市安平區,2年以上,專科,"月薪30,000~60,000元"
資深雲端工程師,台灣雨花石雲計算科技有限公司,網際網路相關業,台北市中山區,5年以上,大學,"月薪65,000元以上"
數據分析專員H(需熟悉函數或SQL查詢語句),盈德網絡服務有限公司,工商顧問服務業,台北市松山區,經歷不拘,專科,"月薪30,000~40,000元"
全端程式工程師,艾果實境股份有限公司,電腦軟體服務業,台北市松山區,2年以上,大學,"月薪50,000~60,000元"
資深資安系統工程師,訊揚科技有限公司,電腦軟體服務業,新北市永和區,經歷不拘,專科,"年薪700,000元以上"
[Server]數據分析師(桃園),Inventec_英業達股份有限公司,電腦及其週邊設備製造業,桃園市桃園區,經歷不拘,大學,"月薪35,000元以上"
系統分析師(台中),凌群電腦股份有限公司,電腦系統整合服務業,台中市北區,2年以上,大學,"月薪28,000~60,000元"
D51不動產估價分析師,達麗建設事業股份有限公司,建築工程業,台北市中山區,4年以上,大學,"月薪40,000元以上"
大數據工程師,德聚仁和地產開發有限公司,不動產經營業,新北市蘆洲區,經歷不拘,高中,"月薪40,000元以上"
"【金融科技】System Administrator, Data Analysis Platform",玉山銀行_玉山商業銀行股份有限公司,銀行業,台北市松山區,經歷不拘,碩士,"月薪39,000~50,000元"
社群數據分析師,麟數據科技股份有限公司,電腦軟體服務業,台北市大安區,經歷不拘,大學,"月薪30,000~38,000元"
資訊部資訊管理課-資深專案管理師,長汎旅行社股份有限公司,旅遊服務業,台北市中山區,3年以上,專科,"月薪40,000元以上"
數據分析工程師,凡谷興業有限公司,其它軟體及網路相關業,台中市西屯區,1年以上,大學,"月薪32,000~60,000元"
PPA｜產品設計部｜Senior UX Researcher,PressPlay_瑞奧股份有限公司,廣告行銷公關業,台北市大同區,5年以上,專科,"年薪1,000,000~1,300,000元"
"會員行為數據分析專員(和雲企劃部,iRent共享汽機車/停車場)",和運租車股份有限公司,運輸工具設備租賃業,台北市中山區,1年以上,大學,"月薪28,000~45,000元"
系統分析師_資專、主任職(內湖區瑞光路),中嘉數位股份有限公司,網際網路相關業,台北市內湖區,2年以上,大學,"月薪45,000~55,000元"
J統計數據分析人員(總公司),中國人壽保險股份有限公司(總公司),人身保險業,台北市松山區,經歷不拘,大學,"月薪35,000元以上"
資料分析師(台北總公司),碁富食品股份有限公司,其他食品製造業,台北市南港區,1年以上,專科,"月薪30,000~40,000元"
軟體高級工程師,台灣資料科學股份有限公司,電腦系統整合服務業,台北市內湖區,3年以上,大學,"月薪50,000~100,000元"
[好會飛]廣告優化分析師 - Google/Facebook Ads Strategist (AM),好會飛網路股份有限公司,網際網路相關業,新北市中和區,1年以上,大學,"月薪37,000~42,000元"
C# .NET Core 研發工程師,台灣資料科學股份有限公司,電腦系統整合服務業,台北市內湖區,經歷不拘,大學,"月薪36,000~65,000元"
全端工程師 Full-Stack Engineer,創星物聯科技股份有限公司,網際網路相關業,台北市內湖區,2年以上,專科,"年薪800,000~1,100,000元"
【智能製造推動】數據分析師,華新麗華股份有限公司,其他機械製造修配業,台南市鹽水區,1年以上,大學,"月薪38,000~48,000元"
市調研究員,年頡科技股份有限公司,其它軟體及網路相關業,台北市內湖區,經歷不拘,大學,"月薪30,000~35,000元"
機率工程師,向上集團_向上國際科技股份有限公司,電腦軟體服務業,台中市北區,2年以上,大學,"月薪38,000元以上"
(Senior) Account Executive 研究專員 (Worldpanel Division),Kantar Taiwan_模範市場研究顧問股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,"月薪35,000~40,000元"
【國外部】秘書,展昭國際企業股份有限公司,廣告行銷公關業,台北市內湖區,2年以上,大學,"月薪28,000~40,000元"
Google數據分析 / 網頁工程師 (新竹區),癮房市整合行銷有限公司,多媒體相關業,新竹縣竹北市,經歷不拘,專科,"月薪35,000~40,000元"
設備數據分析工程師,勝麗國際股份有限公司,半導體製造業,新竹縣竹北市,經歷不拘,大學,"月薪32,000~40,000元"
【德商DHL】新竹(竹東)－資料分析專員－KW,DHL_台灣敦豪供應鏈股份有限公司,儲配／運輸物流業,新竹縣竹東鎮,1年以上,大學,"月薪36,000~50,000元"
資訊數據分析師(CRM專案室),中興保全科技股份有限公司,網際網路相關業,台北市大同區,3年以上,大學,"月薪45,000元以上"
數據分析人員,永昇國際開發股份有限公司,電子通訊／電腦週邊零售業,台北市大安區,2年以上,專科,"月薪30,000~35,000元"
GO後端工程師,匯陞資訊有限公司,電腦軟體服務業,台北市大安區,2年以上,專科,"月薪65,000~90,000元"
研究員(研究發展部),英菲斯特數位科技股份有限公司,工商顧問服務業,台北市大安區,2年以上,大學,"月薪30,000~45,000元"
J業務通路數據分析人員,中國人壽保險股份有限公司(總公司),人身保險業,台北市松山區,3年以上,大學,"月薪35,000元以上"
研發工程師(市場研究) A1FRD006,利勤實業股份有限公司,織布業,雲林縣斗六市,2年以上,大學,"月薪32,000~45,000元"
"【工業4.0／智慧製造】大數據分析工程師（Python）☆到職滿6個月，留任獎金最高15,000元☆ - 視訊面試",欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市龜山區,1年以上,大學,"月薪32,000~70,000元"
系統分析師,上洋產業股份有限公司,專用生產機械製造修配業,新北市五股區,經歷不拘,大學,"月薪40,000~60,000元"
V客群經營數據分析人員,中國人壽保險股份有限公司(總公司),人身保險業,台北市松山區,3年以上,大學,"月薪36,000元以上"
SA 系統分析師(台北公館),廣晉軟體股份有限公司,電腦系統整合服務業,台北市大安區,5年以上,大學,"月薪60,000元以上"
清原總部業務拓展經理,清原_丸芋堂國際餐飲股份有限公司,食品什貨批發業,雲林縣斗南鎮,經歷不拘,專科,"月薪40,000元以上"
試務統計分析專員(南區),南一書局企業股份有限公司(總公司),書籍出版業,台南市南區,經歷不拘,大學,"月薪32,000~40,000元"
國網中心/資料科技組/系統程式與資料庫開發工程師/1人(110_09_4),財團法人國家實驗研究院,政府／民意機關,新竹市,經歷不拘,碩士,"月薪38,000~59,000元"
Research Executive,InSites Consulting_中華全球市場調查股份有限公司,工商顧問服務業,台北市中山區,1年以上,大學,"月薪32,000~39,000元"
4S元富證券-數位金融數據分析員,元富證券股份有限公司,證券及期貨業,台北市大安區,1年以上,大學,"月薪35,000元以上"
元大銀行-個金業務部-客群經營資料分析人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),金融控股業,台北市大同區,1年以上,專科,"月薪38,000~49,000元"
【IT】AI數據分析工程師,日月光半導體製造股份有限公司中壢分公司,半導體製造業,桃園市中壢區,經歷不拘,大學,"月薪38,000~100,000元"
Python講師,伽碩職業訓練中心_伽碩企業有限公司,補習班,台南市永康區,經歷不拘,大學,"時薪400~1,500元"
行銷數據分析企劃（媒體行銷）,PChome Online_網路家庭國際資訊(股)公司,網際網路相關業,台北市大安區,2年以上,大學,"月薪32,000~40,000元"
CRM會員數據分析專員(總公司),新光三越百貨股份有限公司,百貨相關業,台北市信義區,3年以上,大學,"月薪38,000~45,000元"
產品運營主管/經理,面交王有限公司,電子通訊／電腦週邊零售業,台南市北區,2年以上,高中,"月薪33,000~53,000元"
Research Platform Administrator,InSites Consulting_中華全球市場調查股份有限公司,工商顧問服務業,台北市中山區,1年以上,大學,"月薪40,000元以上"
系統分析師(台北),凌群電腦股份有限公司,電腦系統整合服務業,台北市萬華區,3年以上,大學,"月薪28,000~60,000元"
元大銀行-個金業務部-客群經營資料分析人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),金融控股業,台北市大同區,經歷不拘,專科,"月薪33,000~39,000元"
*急徵/派遣雀巢/SFE Assistant/excel精通/數據分析/38-43K/contractor_201AB,萬寶華企業管理顧問股份有限公司,人力仲介代徵,台北市內湖區,2年以上,大學,"月薪38,000~43,000元"
數位推進部-數據分析師,全鋒汽車股份有限公司,汽車客運業,台北市大安區,4年以上,大學,"月薪35,000~40,000元"
風險控管數據分析專員(越語組),威盺有限公司,電腦軟體服務業,台北市松山區,經歷不拘,高中,"月薪36,000~42,000元"
資料分析專員,社團法人亞太音樂集體管理協會,其他組織,台北市信義區,經歷不拘,大學,"月薪26,000~35,000元"
整合服務二部_ 研究員/ 資深研究員,東方線上股份有限公司,工商顧問服務業,台北市大安區,1年以上,碩士,"月薪36,000~45,000元"
產品經理,嘉亨科技股份有限公司,電腦及其週邊設備製造業,新北市中和區,經歷不拘,專科,"月薪30,000~35,000元"
【核心功能服務】創新與數據分析部 - 程式設計師,安永聯合會計師事務所,會計服務業,台北市信義區,2年以上,專科,"月薪40,000元以上"
Google Analytics Consultant GA顧問,美庫爾數據商務顧問股份有限公司,工商顧問服務業,台北市信義區,1年以上,大學,"月薪30,000元以上"
MK 數位行銷助理【歡迎應屆畢業生】,慧邦科技股份有限公司,網際網路相關業,台北市中正區,經歷不拘,大學,"月薪34,000~60,000元"
資訊部 數據分析工程師(總公司),公勝保險經紀人股份有限公司,人身保險業,高雄市左營區,2年以上,大學,"月薪30,000元以上"
.NET軟體程式設計師 Programmer (C# dotnet),五域網絡科技有限公司,網際網路相關業,台北市中山區,1年以上,專科,"月薪45,000元以上"
多媒體企劃人員(保成出版社),志光教育科技股份有限公司,其他教育服務業,台北市中正區,1年以上,大學,"月薪28,000~35,000元"
商業分析師,第一產物保險股份有限公司,產物保險業,台北市中正區,經歷不拘,大學,"月薪29,000~38,000元"
【杏一醫療用品_數據分析師(AKA資訊處)】★★★2022,杏一醫療用品股份有限公司,其他醫療保健服務業,桃園市龜山區,2年以上,大學,"月薪35,000元以上"
品牌行銷企劃,西伯里品牌形象設計有限公司,專門設計相關業,台北市中正區,3年以上,大學,"月薪35,000~42,000元"
AL-[全台最大零售集團]電商系統分析師，須熟悉電商產業與PL/SQL，月薪70K以上,新加坡商立可人事顧問有限公司台灣分公司,人力仲介代徵,台北市內湖區,3年以上,大學,"月薪70,000~90,000元"
201_派遣美商藥廠/銷售營運專員sales operation specialist(有數據分析經驗加分)/應屆畢業生可,萬寶華企業管理顧問股份有限公司,人力仲介代徵,台北市信義區,經歷不拘,大學,"月薪35,000~45,000元"
【槓桿交易部】自營專案開發人員,群益期貨股份有限公司,其他投資理財相關業,台北市大安區,經歷不拘,大學,"月薪32,000~40,000元"
藥物安全組-統計分析師(學士),財團法人藥害救濟基金會,政府／民意機關,台北市中正區,1年以上,大學,"月薪34,438元以上"
判決資料工程師(Data Engineer),雪谷南榕法律事務所,法律服務業,台中市北屯區,1年以上,大學,"月薪40,000~66,000元"
商控專員【備宿舍】,上禾紡織有限公司,紡織成衣業,新北市三重區,經歷不拘,高中,"月薪28,000~36,000元"
"【工業4.0】智慧製造系統開發工程師（VB.NET、C#）*到職滿6個月，留任獎金最高15,000* - 視訊面試",欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市龜山區,經歷不拘,大學,"月薪32,000~70,000元"
"[好會飛]資深數位廣告優化師 / 廣告投手 (FB, Google Ads)",好會飛網路股份有限公司,網際網路相關業,新北市中和區,3年以上,專科,"月薪42,000~62,000元"
徵 數據處-健康資料加值暨統計中心-專任職員1名,臺北醫學大學,大專校院教育事業,台北市信義區,經歷不拘,碩士,"月薪40,000~42,000元"
"Specialist, Media Operation 資料品管",台灣艾傑比尼爾森媒體研究股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,"月薪37,000~42,000元"
資料分析專員Data Analyst-(竹北公司),台灣矽科宏晟科技股份有限公司,精密儀器相關製造業,新竹縣竹北市,1年以上,大學,"月薪32,000~50,000元"
品牌專員_外商工作氛圍,格博品牌行銷顧問有限公司,工商顧問服務業,台北市大安區,經歷不拘,大學,"月薪35,000~50,000元"
博士後研究人員,國立臺灣師範大學_教育研究與創新中心,其他教育服務業,台北市大安區,經歷不拘,博士,"月薪56,000~58,000元"
理賠企劃人員,國泰世紀產物保險股份有限公司,產物保險業,台北市大安區,經歷不拘,大學,"月薪32,000~50,000元"
璞園建築團隊 董事長室主管助理,璞園建築團隊_璞全廣告股份有限公司,不動產經營業,台北市內湖區,6年以上,大學,"月薪50,000~55,000元"
營運企劃專員,鈊象電子股份有限公司,網際網路相關業,新北市五股區,經歷不拘,專科,"月薪30,000~60,000元"
世新大學知識經濟發展研究院-資料分析師,世新大學_人事室,大專校院教育事業,台北市文山區,3年以上,碩士,"月薪38,000~50,000元"
行為科學家,新穎資訊有限公司,電腦軟體服務業,台中市北區,1年以上,大學,"月薪38,000~80,000元"
大潤發支援辦公室 - 商品績效管理處 價格控管組 商品價格管理專員,大潤發流通事業股份有限公司(總公司),量販流通相關業,台北市內湖區,經歷不拘,大學,"月薪35,000~37,000元"
營運專員,新加坡商必創科技股份有限公司,其它軟體及網路相關業,台中市西屯區,1年以上,大學,"月薪28,000~35,000元"
【2022暑期實習】商品精算實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市信義區,經歷不拘,大學,"月薪30,000~32,000元"
國立臺中教育大學科技部計畫誠徵博士後研究員,國立臺中教育大學_測驗統計與適性學習研究中心,大專校院教育事業,台中市西區,經歷不拘,博士,"月薪58,350元以上"
電子商務｜數據專員,炭吉國際貿易有限公司,綜合商品批發代理業,新北市板橋區,2年以上,大學,"月薪36,000~40,000元"
資料科學家 (Data Scientist),安智聯科技有限公司,電腦軟體服務業,桃園市桃園區,3年以上,碩士,"月薪50,000元以上"
920 - 客戶營運/企劃分析人員,安泰商業銀行股份有限公司,銀行業,台北市信義區,2年以上,專科,"月薪33,000~45,000元"
動物展演場所稽查計畫人員,社團法人台灣防止虐待動物協會,社會福利服務業,台北市大安區,2年以上,專科,時薪168~200元
資深媒體企劃／Senior Media Planner,洰和股份有限公司,其它軟體及網路相關業,台北市信義區,2年以上,專科,"月薪35,000元以上"
行銷業務企劃_熟數據分析尤佳,雄獅旅行社股份有限公司,旅遊服務業,台北市內湖區,2年以上,專科,"月薪32,000~40,000元"
碩士級專任助理(計量研究員),國立臺灣師範大學_高等教育深耕計畫辦公室,大專校院教育事業,台北市大安區,經歷不拘,碩士,"月薪36,000~52,000元"
國際經濟研究所誠徵專職計畫輔佐研究員1名（商學、能源產業相關領域碩、博士）,財團法人中華經濟研究院,其他教育服務業,台北市大安區,經歷不拘,碩士,"月薪38,600元以上"
Samsung【三星手機】電商平台 營運專員/資深專員,鵬泰顧問有限公司,電子通訊／電腦週邊零售業,台北市內湖區,2年以上,大學,"月薪35,000~45,000元"
Mobile DRAM Technical Marketing,南亞科技股份有限公司,半導體製造業,新北市泰山區,經歷不拘,碩士,"月薪33,000~58,000元"
數位媒體企劃助理,統一數網股份有限公司,網際網路相關業,台北市大安區,經歷不拘,大學,"月薪28,000~32,000元"
【營運企劃】業務通路企劃人員,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市大安區,經歷不拘,大學,"月薪36,000~70,000元"
數據分析系統開發工程師,曜盈科技有限公司,電腦軟體服務業,台中市西屯區,3年以上,專科,"月薪48,000~56,000元"
英文社群經營 儲備幹部,威翼科技有限公司,廣告行銷公關業,台中市西屯區,經歷不拘,學歷不拘,"月薪35,000~50,000元"
BI數據系統分析師(台中台南皆可),葳誠科技有限公司,電腦系統整合服務業,台中市西屯區,經歷不拘,大學,"月薪70,000~90,000元"
【台北】遊戲企劃,向上集團_向上國際科技股份有限公司,電腦軟體服務業,新北市板橋區,2年以上,專科,"月薪40,000元以上"
機率工程師,鈊象電子股份有限公司,網際網路相關業,新北市五股區,經歷不拘,大學,"月薪30,000~60,000元"
網站安全分析平台開發工程師 (Web APP開發人員),耘通科技股份有限公司,網際網路相關業,台北市松山區,1年以上,學歷不拘,"月薪60,000~100,000元"
數據科學實習 Data Scientist Intern,信輝健康科技有限公司,電腦系統整合服務業,台北市大同區,經歷不拘,大學,時薪168~200元
整合服務一部_ 研究員/資深研究員,東方線上股份有限公司,工商顧問服務業,台北市大安區,2年以上,大學,"月薪36,000~45,000元"
"【工業4.0／智慧製造】智能大數據整合工程師（Python）*到職滿6個月，留任獎金最高15,000* - 視訊面試",欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市龜山區,1年以上,大學,"月薪32,000~70,000元"
三商家購-總公司-專案管理專員 A02,美廉社_三商家購股份有限公司,百貨相關業,台北市中山區,2年以上,專科,"月薪33,000~35,000元"
生技行銷企劃專員(台南永康),大成長城企業股份有限公司,農事及畜牧服務業,台南市永康區,3年以上,大學,"月薪32,000~42,000元"
.NET 軟體工程師,愛群生醫國際股份有限公司,藥品／化妝品及清潔用品批發業,台北市信義區,2年以上,專科,"月薪40,000~70,000元"
[幸福企業招募] 系統開發部-資料分析工程 (內湖區),凱擘股份有限公司,多媒體相關業,台北市內湖區,2年以上,大學,"月薪35,000~45,000元"
【營運企劃】業務通路推展企劃人員,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市大安區,經歷不拘,大學,"月薪36,000~60,000元"
台北_數位推動業務助理,中華紙漿股份有限公司,紙相關製造業,台北市中正區,1年以上,大學,"月薪35,000~38,500元"
KA通路業務,金車大塚股份有限公司,飲料製造業,台北市大同區,經歷不拘,大學,"月薪35,000~45,000元"
經營企劃人才,中華汽車工業股份有限公司楊梅廠,汽車及其零件製造業,桃園市楊梅區,3年以上,大學,"月薪32,000~55,000元"
Python Engineer,安智聯科技有限公司,電腦軟體服務業,桃園市桃園區,3年以上,大學,"月薪45,000元以上"
【急徵】行銷部－專案管理師,麗水策略整合行銷有限公司,廣告行銷公關業,台北市大安區,經歷不拘,大學,"月薪28,000~31,000元"
阿里巴巴國際站數位行銷助理/專員,勁偉國際股份有限公司,綜合商品批發代理業,台北市中山區,經歷不拘,專科,"月薪27,000~40,000元"
逢甲大學 建築專業學院ROSOCoop機器人建造實驗室 商業分析與規劃師 1名,逢甲大學,大專校院教育事業,台中市西屯區,經歷不拘,專科,"月薪45,000元以上"
資料科學家(工作地點:花蓮),財團法人中華民國佛教慈濟慈善事業基金會,宗教組織,花蓮縣新城鄉,2年以上,大學,"月薪35,000~60,000元"
業務助理,幸運福有限公司,綜合商品批發代理業,台中市西屯區,經歷不拘,高中,"月薪28,000~35,000元"
【2022校徵】商品精算人員,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市大安區,經歷不拘,大學,"月薪36,000~70,000元"
"電商行銷企劃助理/專員 28,000~32,000元",朝敏果菜批發行,農／畜／水產品批發業,桃園市平鎮區,2年以上,專科,"月薪28,000~32,000元"
LeadAgileX 市場分析 & 專案執行 | Market analysis & Project Executive,領投肯科技股份有限公司,電腦軟體服務業,台北市信義區,1年以上,專科,"月薪36,000~45,000元"
金門 承攬面訪問卷人員,典通股份有限公司,工商顧問服務業,金門縣金沙鎮,經歷不拘,高中,論件計酬120元以上
廣告優化分析師助理,關鍵數位行銷股份有限公司,廣告行銷公關業,台北市南港區,經歷不拘,大學,"月薪27,000元以上"
大健康產業數據應用規劃師,典通股份有限公司,工商顧問服務業,台北市中正區,經歷不拘,碩士,"月薪35,000~42,000元"
行銷企劃-冰洗產品組,禾聯碩股份有限公司,光電產業,桃園市龜山區,經歷不拘,大學,"月薪30,000~35,000元"
Sr./ Digital Marketing Specialist 資深/數位行銷專員,定承創意有限公司,廣告行銷公關業,台南市東區,1年以上,專科,"月薪35,000元以上"
財管部門資訊人員,臺灣中小企業銀行股份有限公司,銀行業,台北市大同區,1年以上,大學,"月薪33,000~53,000元"
行銷企劃專員,愛德蘭絲股份有限公司,美髮業,台北市中正區,2年以上,大學,"月薪35,000~40,000元"
艋舺雞排總公司行銷企劃專員,元滋品牌股份有限公司,其他餐飲業,高雄市前鎮區,2年以上,專科,"月薪30,000~35,000元"
市場分析專員,登昌恆興業股份有限公司,多媒體相關業,台北市士林區,1年以上,大學,"月薪30,000~40,000元"
【2022暑期實習】投資型商品投資標的實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市信義區,經歷不拘,大學,"月薪30,000~32,000元"
【徵才】博士後研究人員1名,國立臺灣大學,大專校院教育事業,台北市中正區,經歷不拘,博士,"月薪60,690~83,200元"
[北區]鏡片業務資訊人員,磐軒股份有限公司,鐘錶／眼鏡零售業,新北市中和區,2年以上,專科,"月薪30,000~40,000元"
行銷企劃,越診所,診所,台北市中山區,3年以上,專科,"月薪35,000元以上"
【2022暑期實習】精算實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市信義區,經歷不拘,大學,"月薪30,000~32,000元"
【運營部】數據運營 (工作地點: 菲律賓),Millennium Star Trading L.L.C,網際網路相關業,菲律賓,2年以上,專科,"月薪70,000~100,000元"
資訊專案管理人員(工作地點：花蓮),財團法人中華民國佛教慈濟慈善事業基金會,宗教組織,花蓮縣新城鄉,3年以上,大學,"月薪35,000~40,000元"
"★獎金加碼。最高可領29,000元★【資訊工程類】智慧製造系統開發工程師(新豐廠)",欣興電子股份有限公司,印刷電路板製造業(PCB),新竹縣新豐鄉,經歷不拘,大學,"月薪32,000~70,000元"
市場研究員 (Researcher),CRIF TAIWAN_中華徵信所企業股份有限公司,工商顧問服務業,台北市信義區,1年以上,大學,"月薪30,000~39,000元"
《短租》行銷業務企劃專員,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,新北市新店區,2年以上,專科,"月薪35,000~50,000元"
桃園_服務部 營運管理專員,台灣通力電梯股份有限公司,通用機械設備製造修配業,桃園市蘆竹區,3年以上,專科,"月薪28,000~38,000元"
【96自轉車 營運處】 網站平台營運專員(台北),應宏國際股份有限公司,消費性電子產品製造業,台北市內湖區,1年以上,專科,"月薪30,000元以上"
整合行銷企劃人員 A3SD007,利勤實業股份有限公司,織布業,雲林縣斗六市,2年以上,大學,"月薪30,000~40,000元"
(高雄) 營運部 - 營運分析師,菜蟲農食股份有限公司,農／畜／水產品零售業,高雄市三民區,經歷不拘,大學,"月薪32,000~45,000元"
國際品牌行銷企劃,一芝軒企業有限公司,玩具相關業,台中市神岡區,3年以上,專科,"月薪35,000~60,000元"
數位金融企劃專員,陽信商業銀行股份有限公司,銀行業,台北市北投區,2年以上,大學,"月薪33,000~50,000元"
【工業4.0】智慧製造系統設計工程師++熟悉VB.Net、C#++(楊梅儲備)☆到職滿6個月，留任獎金最高11000元☆,欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市龜山區,經歷不拘,大學,"月薪32,000~70,000元"
總公司資訊系統部電腦系統助理分析師/工程師 (AP類),統一綜合證券股份有限公司,證券及期貨業,台北市松山區,經歷不拘,大學,"月薪38,000~43,000元"
DBA 資料庫管理師,樂榮科技股份有限公司,電腦軟體服務業,台北市內湖區,1年以上,大學,"月薪60,000~90,000元"
App產品副理,馬可波羅科技股份有限公司,電腦系統整合服務業,台北市內湖區,3年以上,專科,"月薪50,000~80,000元"
助理研究員,求真民意調查股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,"月薪29,000元以上"
營運部-營運分析師,菜蟲農食股份有限公司,農／畜／水產品零售業,台北市信義區,經歷不拘,大學,"月薪32,000~45,000元"
能環中心誠徵全日專任輔佐研究員1名(碩士畢業),財團法人中華經濟研究院,其他教育服務業,台北市大安區,經歷不拘,碩士,"月薪38,600元以上"
【2022暑期實習】資訊系統實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市信義區,經歷不拘,大學,"月薪30,000~32,000元"
國家衛生研究院癌症研究所 江士昇助研究員實驗室誠徵計畫下博士後研究員1名,財團法人國家衛生研究院,其他教育服務業,苗栗縣竹南鎮,經歷不拘,博士,"月薪58,350元以上"
行銷企劃,金恩科技股份有限公司,電腦及其週邊設備製造業,新北市新店區,3年以上,高中,"月薪30,000~50,000元"
保養品行銷企劃專員,願麗醫美_塞席爾商碧麗股份有限公司台灣分公司,藥品／化妝品及清潔用品零售業,台北市大安區,2年以上,專科,"月薪30,000~35,000元"
大數據工程師,新穎資訊有限公司,電腦軟體服務業,台中市北區,1年以上,大學,"月薪38,000~80,000元"
"Analyst, Customer Success",台灣尼爾森愛科股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,"月薪35,000~40,000元"
遊戲企劃專員(數值型),鈊象電子股份有限公司,網際網路相關業,新北市五股區,經歷不拘,大學,"月薪25,250~40,000元"
業務分析師/系統開發工程師,富邦人壽保險股份有限公司(總公司),人身保險業,台北市內湖區,1年以上,大學,"月薪35,000元以上"
E3000 加工營運專員(桃園地區),富邦媒體科技股份有限公司(富邦momo),百貨相關業,桃園市大園區,1年以上,大學,"月薪32,000元以上"
資料工程師 Data Engineer (台南/Tainan),凱鈿行動科技股份有限公司,網際網路相關業,台南市永康區,1年以上,大學,"月薪35,000~60,000元"
資訊工程師-股務系統程式開發及維護(台北),太平洋電線電纜股份有限公司,電力機械器材製造修配業,新北市三重區,經歷不拘,大學,"月薪36,600~50,000元"
電動二輪通路行銷助理,菱威汽車股份有限公司,汽機車及其零配件／用品零售業,桃園市楊梅區,經歷不拘,專科,"月薪30,000~40,000元"
資深商業分析師,海普科技有限公司,家庭電器／設備及用品批發業,台北市松山區,5年以上,大學,"月薪45,000~60,000元"
解決方案工程師 (內容處理),萬象翻譯股份有限公司,其他出版業,台北市松山區,經歷不拘,專科,"月薪35,000~60,000元"
保費帳務系統統計分析專員,(總公司)南山人壽保險股份有限公司,人身保險業,台北市信義區,1年以上,大學,"月薪32,000~42,000元"
廣告優化師,宏虹電子科技有限公司,綜合商品批發代理業,桃園市蘆竹區,經歷不拘,大學,"月薪32,000~50,000元"
資訊系統部AS400系統分析師(COBOL開發工程師),統一綜合證券股份有限公司,證券及期貨業,台北市松山區,經歷不拘,大學,"月薪50,000~70,000元"
DC03  網發部/客戶服務課-資料監看人員,智冠科技股份有限公司,網際網路相關業,台北市南港區,經歷不拘,專科,"月薪26,000~33,000元"
【土城】資料科學家,雲智匯科技服務股份有限公司,其他電子零組件相關業,新北市土城區,5年以上,大學,"月薪60,000元以上"
資料工程師 Data Engineer,永慶房產集團_永慶房屋仲介股份有限公司,不動產經營業,台北市大安區,3年以上,專科,"月薪40,000~65,000元"
Senior Business analysis(保險系統需求),加林軟體科技有限公司,電腦軟體服務業,台北市信義區,8年以上,大學,"月薪40,000~120,000元"
5L新光人壽-資料科學分析師 (數位),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),金融控股業,台北市松山區,3年以上,大學,"月薪36,000~50,000元"
系統分析師(沙鹿院區),光田醫療社團法人光田綜合醫院,醫院,台中市沙鹿區,3年以上,大學,"月薪42,000~56,000元"
★網路廣告投放策劃(高雄),唯樂生物科技股份有限公司,綜合商品批發代理業,高雄市前金區,1年以上,專科,"月薪28,000~50,000元"
【國際事業中心】產品營運人員(泰文),網銀國際股份有限公司,電腦軟體服務業,台中市西屯區,1年以上,大學,"月薪35,000~50,000元"
通路行銷企劃主管,新高橋藥妝_聯橋健康事業股份有限公司,藥品／化妝品及清潔用品零售業,高雄市左營區,3年以上,專科,"月薪40,000~65,000元"
聯播廣告優化專員（數據行銷部）,艾璽媒體有限公司,廣告行銷公關業,台北市中山區,1年以上,專科,"月薪35,000~40,000元"
資料庫管理師,富邦人壽保險股份有限公司(總公司),人身保險業,台北市內湖區,2年以上,大學,"月薪35,000元以上"
