job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
201_派遣美商藥廠/銷售營運專員sales operation specialist(有數據分析經驗加分)/應屆畢業生可,萬寶華企業管理顧問股份有限公司,人力仲介代徵,台北市,經歷不拘,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
【槓桿交易部】自營專案開發人員,群益期貨股份有限公司,其他投資理財相關業,台北市,經歷不拘,大學,"月薪32,000~40,000元",32000~40000,40000.0,32000.0,36000.0
藥物安全組-統計分析師(學士),財團法人藥害救濟基金會,政府／民意機關,台北市,1年以上,大學,"月薪34,438元以上",34438以上,34438.0,34438.0,34438.0
判決資料工程師(Data Engineer),雪谷南榕法律事務所,法律服務業,台中市,1年以上,大學,"月薪40,000~66,000元",40000~66000,66000.0,40000.0,53000.0
商控專員【備宿舍】,上禾紡織有限公司,紡織成衣業,新北市,經歷不拘,高中,"月薪28,000~36,000元",28000~36000,36000.0,28000.0,32000.0
"【工業4.0】智慧製造系統開發工程師（VB.NET、C#）*到職滿6個月，留任獎金最高15,000* - 視訊面試",欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市,經歷不拘,大學,"月薪32,000~70,000元",32000~70000,70000.0,32000.0,51000.0
"[好會飛]資深數位廣告優化師 / 廣告投手 (FB, Google Ads)",好會飛網路股份有限公司,網際網路相關業,新北市,3年以上,專科,"月薪42,000~62,000元",42000~62000,62000.0,42000.0,52000.0
徵 數據處-健康資料加值暨統計中心-專任職員1名,臺北醫學大學,大專校院教育事業,台北市,經歷不拘,碩士,"月薪40,000~42,000元",40000~42000,42000.0,40000.0,41000.0
"Specialist, Media Operation 資料品管",台灣艾傑比尼爾森媒體研究股份有限公司,工商顧問服務業,台北市,經歷不拘,大學,"月薪37,000~42,000元",37000~42000,42000.0,37000.0,39500.0
資料分析專員Data Analyst-(竹北公司),台灣矽科宏晟科技股份有限公司,精密儀器相關製造業,新竹縣,1年以上,大學,"月薪32,000~50,000元",32000~50000,50000.0,32000.0,41000.0
