job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
整合營銷/行銷企劃,凱渥實業股份有限公司,藝人／模特兒等經紀業,台北市中正區,經歷不拘,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
數位行銷儲備幹部,台灣嘉碩科技股份有限公司,通訊機械器材相關業,桃園市平鎮區,5年以上,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
活動審核專員,豐卉有限公司,綜合商品批發代理業,台北市信義區,1年以上,專科,"月薪36,000~40,000元",36000~40000,40000.0,36000.0,38000.0
網路行銷企劃,立新美學診所,診所,新北市三重區,3年以上,專科,"月薪30,000~35,000元",30000~35000,35000.0,30000.0,32500.0
電子商務專員,杏豐實業股份有限公司,藥品／化妝品及清潔用品零售業,新北市三重區,1年以上,專科,"月薪26,000~39,900元",26000~39900,39900.0,26000.0,32950.0
感測製程工程師(測試、封裝),榮創能源科技股份有限公司-鴻海科技集團,光電產業,新竹縣湖口鄉,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
後端工程師(資深工程師 薪資另議),愛吠的狗娛樂股份有限公司,數位內容產業,高雄市新興區,1年以上,大學,"月薪42,000~58,000元",42000~58000,58000.0,42000.0,50000.0
【宜蘭廠】製程整合輪班工程師,中美矽晶製品股份有限公司,光電產業,宜蘭縣五結鄉,經歷不拘,大學,"月薪35,000~47,000元",35000~47000,47000.0,35000.0,41000.0
行銷專員(林口),MITSUI OUTLET PARK･MITSUI SHOPPING PARK LaLaport_台灣三井不動產商業管理股份有限公司,百貨相關業,新北市林口區,1年以上,大學,"月薪28,000元以上",28000以上,28000.0,28000.0,28000.0
品管行政助理（活用日文機會）,日商_亞洲藏壽司股份有限公司,餐館業,台北市中山區,經歷不拘,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
生管助理,承展國際股份有限公司,其他紡織製品製造業,台北市松山區,1年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
AD10152 品質資料分析師,華碩電腦股份有限公司,電腦及其週邊設備製造業,台北市北投區,經歷不拘,大學,"月薪30,000元以上",30000以上,30000.0,30000.0,30000.0
品牌業務助理,匠運企業有限公司,百貨相關業,台北市南港區,1年以上,專科,"月薪28,000元以上",28000以上,28000.0,28000.0,28000.0
品牌專案企劃,中紡科技實業股份有限公司,其他紡織業,新北市新莊區,5年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
財務主任,天源義記機械股份有限公司,其他金屬相關製造業,台中市南屯區,6年以上,大學,"月薪50,000元以上",50000以上,50000.0,50000.0,50000.0
風險管理人員,臺灣中小企業銀行股份有限公司,銀行業,台北市大同區,2年以上,大學,"月薪41,000~65,000元",41000~65000,65000.0,41000.0,53000.0
【三創生活園區FT】會員活動行銷企劃專員,鴻海集團_三創數位股份有限公司,百貨相關業,台北市中正區,2年以上,專科,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
台中品保部-供應商管理工程師/儲幹,優你康光學股份有限公司,醫療器材製造業,台中市南屯區,2年以上,專科,"月薪30,000~45,000元",30000~45000,45000.0,30000.0,37500.0
A1-Market Development Analyst (業務開發),意藍資訊股份有限公司,網際網路相關業,台北市大安區,經歷不拘,大學,"月薪40,000元以上",40000以上,40000.0,40000.0,40000.0
資訊專員,正河源股份有限公司,金屬加工用機械製造修配業,台中市清水區,經歷不拘,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
社群經營行銷主管,維春商業開發股份有限公司,百貨相關業,台北市中山區,2年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
研究員(碩士級),台灣趨勢研究股份有限公司,工商顧問服務業,台北市大安區,經歷不拘,碩士,"月薪32,000~36,000元",32000~36000,36000.0,32000.0,34000.0
資深招募人員 (總公司),三井住友海上集團_明台產物保險股份有限公司,產物保險業,台北市大安區,3年以上,大學,"月薪33,000~45,000元",33000~45000,45000.0,33000.0,39000.0
運動社群部落格管理員,Fly High Yoga_美翔投資有限公司,休閒服務業,台中市西區,2年以上,大學,"月薪26,000~40,000元",26000~40000,40000.0,26000.0,33000.0
【遊戲行政專員】-【早班/午班】,裕和源有限公司,其它軟體及網路相關業,台北市內湖區,經歷不拘,專科,"月薪30,000~37,000元",30000~37000,37000.0,30000.0,33500.0
風控專員,睿訊有限公司,電腦軟體服務業,台北市內湖區,經歷不拘,專科,"月薪30,000~45,000元",30000~45000,45000.0,30000.0,37500.0
數據工程師 (Data Engineer),開必拓數據股份有限公司,電腦及其週邊設備製造業,新竹市,經歷不拘,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
